original_gene_id	renamed_gene_id
prot_L-elsbetiae_contig15.3584.1	c_organisms_00314
mRNA_L-elsbetiae_contig15.3585.1	c_organisms_00315
prot_L-elsbetiae_contig15.3585.1	c_organisms_00316
mRNA_L-elsbetiae_contig15.3586.1	c_organisms_00317
prot_L-elsbetiae_contig15.3586.1	c_organisms_00318
mRNA_L-elsbetiae_contig15.3587.1	c_organisms_00319
prot_L-elsbetiae_contig15.3587.1	c_organisms_00320
mRNA_L-elsbetiae_contig15.3588.1	c_organisms_00321
prot_L-elsbetiae_contig15.3588.1	c_organisms_00322
mRNA_L-elsbetiae_contig15.3589.1	c_organisms_00323
prot_L-elsbetiae_contig15.3589.1	c_organisms_00324
mRNA_L-elsbetiae_contig15.3590.1	c_organisms_00325
prot_L-elsbetiae_contig15.3590.1	c_organisms_00326
mRNA_L-elsbetiae_contig15.3591.1	c_organisms_00327
prot_L-elsbetiae_contig15.3591.1	c_organisms_00328
mRNA_L-elsbetiae_contig15.3592.1	c_organisms_00329
prot_L-elsbetiae_contig15.3592.1	c_organisms_00330
mRNA_L-elsbetiae_contig15.3593.1	c_organisms_00331
prot_L-elsbetiae_contig15.3593.1	c_organisms_00332
mRNA_L-elsbetiae_contig15.3594.1	c_organisms_00333
prot_L-elsbetiae_contig15.3594.1	c_organisms_00334
mRNA_L-elsbetiae_contig16.4132.1	c_organisms_00335
prot_L-elsbetiae_contig16.4132.1	c_organisms_00336
mRNA_L-elsbetiae_contig16.4133.1	c_organisms_00337
prot_L-elsbetiae_contig16.4133.1	c_organisms_00338
mRNA_L-elsbetiae_contig16.4134.1	c_organisms_00339
prot_L-elsbetiae_contig16.4134.1	c_organisms_00340
mRNA_L-elsbetiae_contig16.4135.1	c_organisms_00341
prot_L-elsbetiae_contig16.4135.1	c_organisms_00342
mRNA_L-elsbetiae_contig16.4136.1	c_organisms_00343
prot_L-elsbetiae_contig16.4136.1	c_organisms_00344
mRNA_L-elsbetiae_contig16.4137.1	c_organisms_00345
prot_L-elsbetiae_contig16.4137.1	c_organisms_00346
